Materialno,Plant,SLoc,SlocDesc,Unrestrictuse,Reserve,Exporttime
U-140-2R1,H102,1003,Infra Verify,2,0,20DEC2019-17:48
U-140-2R3 REC,H102,INS,Installation,1,0,20DEC2019-17:48
U-ESU-DCFAN,H102,1003,Infra Verify,1,0,20DEC2019-17:48
U-ESU-DCFAN,H102,1004,Infra Repair,6,0,20DEC2019-17:48
U-ESU-DCFAN,H102,INS,Installation,25,0,20DEC2019-17:48
U-ESU-DCFAN,H601,INS,Installation,1,0,20DEC2019-17:48
U5440BH,H102,INS,Installation,1,0,20DEC2019-17:48
U72-3383-01,H302,INS,Installation,1,0,20DEC2019-17:48
