Materialno,Plant,SLoc,SlocDesc,Unrestrictuse,Reserve,Exporttime
U-140-2R1,H102,1003,Infra Verify,2,0,20DEC2019-17:48
U-140-2R3 REC,H102,INS,Installation,1,0,20DEC2019-17:48
